Location,Year,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
Global,1980,16.33693549,17.22482413058036,15.391910126973658
Global,1981,16.33709514,17.256176100787812,15.33988352966468
Global,1982,16.24976232,17.133327885160792,15.33726350014001
Global,1983,16.3085099,17.135181908077318,15.357724378948712
Global,1984,16.47608197,17.323079463397555,15.521705177633848
Global,1985,16.62203518,17.415172406829136,15.701150984994678
Global,1986,16.57286352,17.342551500317093,15.697198959037715
Global,1987,16.64976371,17.49962610629957,15.64892907658231
Global,1988,16.6858841,17.509559171235153,15.761198427456511
Global,1989,16.69466247,17.526787686798148,15.779802473783823
Global,1990,16.60211229,17.448473038922526,15.604701003581079
Global,1991,16.60951239,17.414725400726155,15.744408979586971
Global,1992,16.63955206,17.434873091663356,15.643038844726046
Global,1993,16.74969077,17.53521922946879,15.83307612
Global,1994,16.76763078,17.509045875602308,15.807148773750617
Global,1995,16.71342719,17.447058535831037,15.777779992379948
Global,1996,16.56776962,17.235299906425876,15.649892821079613
Global,1997,16.38266777,17.051390603041213,15.521115874649201
Global,1998,16.25104104,16.89814757832845,15.339520043210705
Global,1999,16.22898293,16.89359413872061,15.390253475966716
Global,2000,16.13397067,16.824523452927778,15.270254102579136
Global,2001,16.01718945,16.66757896873447,15.166528336555814
Global,2002,15.90374283,16.546755365146815,14.970178821023056
Global,2003,15.80887126,16.46145835859496,14.917107578705835
Global,2004,15.59553939,16.195083769548006,14.705162693801169
Global,2005,15.44739764,16.05369448966514,14.606300307904796
Global,2006,15.24957673,15.808722966790135,14.430058791888259
Global,2007,15.11008398,15.660864424433763,14.334021493894147
Global,2008,15.05324403,15.592821068473476,14.168761678897422
Global,2009,14.94252267,15.520079766757526,14.07688141963113
Global,2010,14.87255428,15.451190365835243,13.98739345201245
Global,2011,14.77257746,15.37375689655635,13.853236170560903
Global,2012,14.6711155,15.286342780553024,13.756752431805095
Global,2013,14.60634273,15.23439987573541,13.722636700878832
Global,2014,14.55678014,15.191661725872331,13.688137726300043
Global,2015,14.6083702,15.299935942104156,13.63931759245291
Global,2016,14.67491683,15.367870789333447,13.772840079916556
Global,2017,14.67145112,15.476675527329457,13.74163070048832
Global,2018,14.71107338,15.470235188360066,13.753597452869945
Global,2019,14.69195854,15.520003989369707,13.673581994157704
Global,2020,14.54913131,15.435733408601052,13.515972525022496
Global,2021,14.54992187,15.558898681196759,13.451392070793107
